year,cable_id,ocean_route,operator_type,rfs_year,age_years,fiber_pairs,length_km,n_landing_countries,chokepoint,design_capacity_tbps,lit_capacity_tbps,utilization_pct,protected_burial,design_life_years,route_redundancy,is_low_redundancy,vulnerability_index,fault_cause,fault_this_year,fault_next_year,next_observed_year,has_consecutive_next_year,label_temporally_valid,exclusion_reason,capacity_headroom_tbps,lit_to_design_ratio,lit_capacity_change_yoy,utilization_change_yoy,route_redundancy_change_yoy,fault_previous_year,fault_count_prior_3_calendar_years,years_since_previous_fault
2019,CAB0004,Intra-Pacific-Islands,consortium,2012,7,8,379.0,5,None,224.0,130.3,90.3,0,25,35,1,46.8,none,0,0.0,2020.0,True,True,,93.69999999999999,0.5816964285714287,-15.899999999999977,10.700000000000003,5.0,0.0,2,2.0
2020,CAB0004,Intra-Pacific-Islands,consortium,2012,8,8,379.0,5,None,224.0,150.5,74.5,0,25,40,0,28.6,none,0,1.0,2021.0,True,True,,73.5,0.671875,20.19999999999999,-15.799999999999997,5.0,0.0,1,3.0
2021,CAB0004,Intra-Pacific-Islands,consortium,2012,9,8,379.0,5,None,224.0,173.3,83.5,0,25,41,0,30.2,fishing_anchor,1,0.0,2022.0,True,True,,50.69999999999999,0.7736607142857144,22.80000000000001,9.0,1.0,0.0,0,4.0
2022,CAB0004,Intra-Pacific-Islands,consortium,2012,10,8,379.0,5,None,224.0,191.1,58.0,0,25,43,0,31.7,none,0,0.0,2023.0,True,True,,32.900000000000006,0.853125,17.799999999999983,-25.5,2.0,1.0,1,1.0
2023,CAB0004,Intra-Pacific-Islands,consortium,2012,11,8,379.0,5,None,224.0,211.1,51.3,0,25,45,0,33.3,none,0,0.0,2024.0,True,True,,12.900000000000006,0.9424107142857142,20.0,-6.700000000000003,2.0,0.0,1,2.0
2024,CAB0004,Intra-Pacific-Islands,consortium,2012,12,8,379.0,5,None,224.0,224.0,30.5,0,25,48,0,34.9,none,0,0.0,2025.0,True,True,,0.0,1.0,12.900000000000006,-20.799999999999997,3.0,0.0,1,3.0
2025,CAB0004,Intra-Pacific-Islands,consortium,2012,13,8,379.0,5,None,224.0,224.0,84.4,0,25,50,0,36.5,none,0,0.0,2026.0,True,True,,0.0,1.0,0.0,53.900000000000006,2.0,0.0,0,4.0
2020,CAB0005,EMEA-Asia,hyperscaler,2020,0,16,18833.0,3,None,630.9,135.9,51.7,1,25,40,0,0.0,none,0,0.0,2021.0,True,True,,495.0,0.2154065620542083,,,,,0,
2021,CAB0005,EMEA-Asia,hyperscaler,2020,1,16,18833.0,3,None,630.9,209.0,34.2,1,25,44,0,1.6,none,0,0.0,2022.0,True,True,,421.9,0.33127278491044543,73.1,-17.5,4.0,0.0,0,
2022,CAB0005,EMEA-Asia,hyperscaler,2020,2,16,18833.0,3,None,630.9,225.1,44.4,1,25,45,0,3.2,none,0,0.0,2023.0,True,True,,405.79999999999995,0.35679188460928835,16.099999999999994,10.199999999999996,1.0,0.0,0,
2023,CAB0005,EMEA-Asia,hyperscaler,2020,3,16,18833.0,3,None,630.9,246.4,39.3,1,25,47,0,4.8,none,0,0.0,2024.0,True,True,,384.5,0.39055317799968303,21.30000000000001,-5.100000000000001,2.0,0.0,0,
2024,CAB0005,EMEA-Asia,hyperscaler,2020,4,16,18833.0,3,None,630.9,259.3,25.6,1,25,48,0,6.3,none,0,0.0,2025.0,True,True,,371.59999999999997,0.41100015850372484,12.900000000000006,-13.699999999999996,1.0,0.0,0,
2025,CAB0005,EMEA-Asia,hyperscaler,2020,5,16,18833.0,3,None,630.9,350.5,85.6,1,25,47,0,7.9,none,0,0.0,2026.0,True,True,,280.4,0.5555555555555556,91.19999999999999,59.99999999999999,-1.0,0.0,0,
2019,CAB0006,Trans-Atlantic,carrier,2019,0,5,7004.0,7,None,190.0,51.3,33.1,1,25,45,0,0.0,none,0,0.0,2020.0,True,True,,138.7,0.26999999999999996,,,,,0,
2020,CAB0006,Trans-Atlantic,carrier,2019,1,5,7004.0,7,None,190.0,56.5,36.6,1,25,48,0,1.6,none,0,0.0,2021.0,True,True,,133.5,0.29736842105263156,5.200000000000003,3.5,3.0,0.0,0,
2021,CAB0006,Trans-Atlantic,carrier,2019,2,5,7004.0,7,None,190.0,63.4,32.0,1,25,50,0,3.2,none,0,0.0,2022.0,True,True,,126.6,0.3336842105263158,6.899999999999999,-4.600000000000001,2.0,0.0,0,
2022,CAB0006,Trans-Atlantic,carrier,2019,3,5,7004.0,7,None,190.0,70.6,21.1,1,25,51,0,4.8,none,0,0.0,2023.0,True,True,,119.4,0.371578947368421,7.199999999999996,-10.899999999999999,1.0,0.0,0,
2023,CAB0006,Trans-Atlantic,carrier,2019,4,5,7004.0,7,None,190.0,95.8,52.8,1,25,54,0,6.3,none,0,0.0,2024.0,True,True,,94.2,0.5042105263157894,25.200000000000003,31.699999999999996,3.0,0.0,0,
2024,CAB0006,Trans-Atlantic,carrier,2019,5,5,7004.0,7,None,190.0,106.2,72.9,1,25,58,0,7.9,none,0,0.0,2025.0,True,True,,83.8,0.5589473684210526,10.400000000000006,20.10000000000001,4.0,0.0,0,
2025,CAB0006,Trans-Atlantic,carrier,2019,6,5,7004.0,7,None,190.0,120.7,27.8,1,25,62,0,9.5,none,0,1.0,2026.0,True,True,,69.3,0.6352631578947369,14.5,-45.10000000000001,4.0,0.0,0,
2022,CAB0007,Africa-Coastal,consortium,2022,0,34,9553.0,6,None,1437.7,276.3,54.9,0,25,45,0,15.9,none,0,0.0,2023.0,True,True,,1161.4,0.1921819572928984,,,,,0,
2023,CAB0007,Africa-Coastal,consortium,2022,1,34,9553.0,6,None,1437.7,372.0,18.0,0,25,47,0,17.5,none,0,0.0,2024.0,True,True,,1065.7,0.25874660916742015,95.69999999999999,-36.9,2.0,0.0,0,
2024,CAB0007,Africa-Coastal,consortium,2022,2,34,9553.0,6,None,1437.7,477.4,49.6,0,25,49,0,19.0,none,0,1.0,2025.0,True,True,,960.3000000000001,0.33205814843152254,105.39999999999998,31.6,2.0,0.0,0,
2025,CAB0007,Africa-Coastal,consortium,2022,3,34,9553.0,6,None,1437.7,633.4,55.9,0,25,52,0,20.6,fishing_anchor,1,1.0,2026.0,True,True,,804.3000000000001,0.440564790985602,156.0,6.299999999999997,3.0,0.0,0,
2025,CAB0008,Trans-Pacific,government,2025,0,37,10572.0,5,None,1723.1,475.6,45.5,1,25,50,0,0.0,none,0,0.0,2026.0,True,True,,1247.5,0.27601416052463584,,,,,0,
2016,CAB0009,Intra-Asia,consortium,2016,0,19,3494.0,5,Taiwan-Strait,640.6,249.4,40.8,0,25,59,0,43.7,fishing_anchor,1,0.0,2017.0,True,True,,391.20000000000005,0.3893225101467374,,,,,0,
2017,CAB0009,Intra-Asia,consortium,2016,1,19,3494.0,5,Taiwan-Strait,640.6,193.8,36.7,0,25,60,0,45.2,none,0,1.0,2018.0,True,True,,446.8,0.3025288791757727,-55.599999999999994,-4.099999999999994,1.0,1.0,1,1.0
2018,CAB0009,Intra-Asia,consortium,2016,2,19,3494.0,5,Taiwan-Strait,640.6,246.4,35.7,0,25,62,0,46.8,fishing_anchor,1,1.0,2019.0,True,True,,394.20000000000005,0.38463940056197315,52.599999999999994,-1.0,2.0,0.0,1,2.0
2019,CAB0009,Intra-Asia,consortium,2016,3,19,3494.0,5,Taiwan-Strait,640.6,274.4,21.2,0,25,64,0,48.4,natural_hazard,1,0.0,2020.0,True,True,,366.20000000000005,0.4283484233531064,27.99999999999997,-14.500000000000004,2.0,1.0,2,1.0
2020,CAB0009,Intra-Asia,consortium,2016,4,19,3494.0,5,Taiwan-Strait,640.6,312.4,22.5,0,25,66,0,50.0,none,0,1.0,2021.0,True,True,,328.20000000000005,0.48766781142678733,38.0,1.3000000000000007,2.0,1.0,2,1.0
2021,CAB0009,Intra-Asia,consortium,2016,5,19,3494.0,5,Taiwan-Strait,640.6,364.5,59.2,0,25,69,0,51.6,fishing_anchor,1,1.0,2022.0,True,True,,276.1,0.5689978145488604,52.10000000000002,36.7,3.0,0.0,2,2.0
2022,CAB0009,Intra-Asia,consortium,2016,6,19,3494.0,5,Taiwan-Strait,640.6,365.2,75.3,0,25,70,0,53.2,natural_hazard,1,1.0,2023.0,True,True,,275.40000000000003,0.5700905401186387,0.6999999999999886,16.099999999999994,1.0,1.0,2,1.0
2023,CAB0009,Intra-Asia,consortium,2016,7,19,3494.0,5,Taiwan-Strait,640.6,408.9,26.8,0,25,70,0,54.8,fishing_anchor,1,1.0,2024.0,True,True,,231.70000000000005,0.6383078364033717,43.69999999999999,-48.5,0.0,1.0,2,1.0
2024,CAB0009,Intra-Asia,consortium,2016,8,19,3494.0,5,Taiwan-Strait,640.6,447.0,69.0,0,25,75,0,56.3,fishing_anchor,1,0.0,2025.0,True,True,,193.60000000000002,0.6977833281298782,38.10000000000002,42.2,5.0,1.0,3,1.0
2025,CAB0009,Intra-Asia,consortium,2016,9,19,3494.0,5,Taiwan-Strait,640.6,520.8,28.9,0,25,77,0,57.9,none,0,0.0,2026.0,True,True,,119.80000000000007,0.8129878239150795,73.79999999999995,-40.1,2.0,1.0,3,1.0
2016,CAB0010,Trans-Atlantic,carrier,2016,0,4,6108.0,5,None,134.9,36.4,78.9,1,25,37,1,19.8,none,0,0.0,2017.0,True,True,,98.5,0.2698295033358043,,,,,0,
2017,CAB0010,Trans-Atlantic,carrier,2016,1,4,6108.0,5,None,134.9,35.1,9.1,1,25,37,1,21.4,none,0,0.0,2018.0,True,True,,99.80000000000001,0.2601927353595256,-1.2999999999999972,-69.80000000000001,0.0,0.0,0,
2018,CAB0010,Trans-Atlantic,carrier,2016,2,4,6108.0,5,None,134.9,51.1,36.1,1,25,40,0,3.2,none,0,0.0,2019.0,True,True,,83.80000000000001,0.3787991104521868,16.0,27.0,3.0,0.0,0,
2019,CAB0010,Trans-Atlantic,carrier,2016,3,4,6108.0,5,None,134.9,45.2,77.9,1,25,45,0,4.8,none,0,1.0,2020.0,True,True,,89.7,0.335063009636768,-5.899999999999999,41.800000000000004,5.0,0.0,0,
2020,CAB0010,Trans-Atlantic,carrier,2016,4,4,6108.0,5,None,134.9,57.0,48.9,1,25,48,0,6.3,fishing_anchor,1,0.0,2021.0,True,True,,77.9,0.4225352112676056,11.799999999999997,-29.000000000000007,3.0,0.0,0,
2021,CAB0010,Trans-Atlantic,carrier,2016,5,4,6108.0,5,None,134.9,68.4,68.6,1,25,50,0,7.9,none,0,0.0,2022.0,True,True,,66.5,0.5070422535211268,11.400000000000006,19.699999999999996,2.0,1.0,1,1.0
2022,CAB0010,Trans-Atlantic,carrier,2016,6,4,6108.0,5,None,134.9,80.7,14.6,1,25,51,0,9.5,none,0,0.0,2023.0,True,True,,54.2,0.5982209043736101,12.299999999999997,-53.99999999999999,1.0,0.0,1,2.0
2023,CAB0010,Trans-Atlantic,carrier,2016,7,4,6108.0,5,None,134.9,97.8,83.1,1,25,54,0,11.1,none,0,0.0,2024.0,True,True,,37.10000000000001,0.7249814677538917,17.099999999999994,68.5,3.0,0.0,1,3.0
2024,CAB0010,Trans-Atlantic,carrier,2016,8,4,6108.0,5,None,134.9,104.0,92.7,1,25,58,0,12.7,none,0,1.0,2025.0,True,True,,30.900000000000006,0.770941438102298,6.200000000000003,9.600000000000009,4.0,0.0,0,4.0
2025,CAB0010,Trans-Atlantic,carrier,2016,9,4,6108.0,5,None,134.9,112.0,46.6,1,25,62,0,14.3,fishing_anchor,1,1.0,2026.0,True,True,,22.900000000000006,0.8302446256486286,8.0,-46.1,4.0,0.0,0,5.0
2015,CAB0011,Intra-Europe,consortium,2010,5,4,502.0,7,None,100.6,68.4,53.3,0,25,41,0,23.8,none,0,0.0,2016.0,True,True,,32.19999999999999,0.6799204771371771,,,,,0,
2016,CAB0011,Intra-Europe,consortium,2010,6,4,502.0,7,None,100.6,63.3,21.2,0,25,42,0,25.4,none,0,0.0,2017.0,True,True,,37.3,0.6292246520874751,-5.1000000000000085,-32.099999999999994,1.0,0.0,0,
2017,CAB0011,Intra-Europe,consortium,2010,7,4,502.0,7,None,100.6,63.5,21.8,0,25,44,0,27.0,none,0,0.0,2018.0,True,True,,37.099999999999994,0.6312127236580517,0.20000000000000284,0.6000000000000014,2.0,0.0,0,
2018,CAB0011,Intra-Europe,consortium,2010,8,4,502.0,7,None,100.6,68.6,65.5,0,25,45,0,28.6,none,0,0.0,2019.0,True,True,,32.0,0.6819085487077534,5.099999999999994,43.7,1.0,0.0,0,
2019,CAB0011,Intra-Europe,consortium,2010,9,4,502.0,7,None,100.6,83.1,93.9,0,25,47,0,30.2,none,0,0.0,2020.0,True,True,,17.5,0.8260437375745526,14.5,28.400000000000006,2.0,0.0,0,
2020,CAB0011,Intra-Europe,consortium,2010,10,4,502.0,7,None,100.6,91.1,48.7,0,25,49,0,31.7,none,0,0.0,2021.0,True,True,,9.5,0.9055666003976143,8.0,-45.2,2.0,0.0,0,
2021,CAB0011,Intra-Europe,consortium,2010,11,4,502.0,7,None,100.6,93.8,64.0,0,25,49,0,33.3,none,0,0.0,2022.0,True,True,,6.799999999999997,0.9324055666003976,2.700000000000003,15.299999999999997,0.0,0.0,0,
2022,CAB0011,Intra-Europe,consortium,2010,12,4,502.0,7,None,100.6,100.0,45.6,0,25,52,0,34.9,none,0,0.0,2023.0,True,True,,0.5999999999999943,0.9940357852882704,6.200000000000003,-18.4,3.0,0.0,0,
2023,CAB0011,Intra-Europe,consortium,2010,13,4,502.0,7,None,100.6,96.8,39.8,0,25,53,0,36.5,none,0,0.0,2024.0,True,True,,3.799999999999997,0.9622266401590458,-3.200000000000003,-5.800000000000004,1.0,0.0,0,
2024,CAB0011,Intra-Europe,consortium,2010,14,4,502.0,7,None,100.6,100.6,85.6,0,25,53,0,38.1,none,0,0.0,2025.0,True,True,,0.0,1.0,3.799999999999997,45.8,0.0,0.0,0,
2025,CAB0011,Intra-Europe,consortium,2010,15,4,502.0,7,None,100.6,100.6,100.0,0,25,58,0,39.7,none,0,0.0,2026.0,True,True,,0.0,1.0,0.0,14.400000000000006,5.0,0.0,0,
2015,CAB0012,Intra-Europe,carrier,2012,3,6,1062.0,8,None,168.0,83.1,43.9,0,25,41,0,20.6,fishing_anchor,1,0.0,2016.0,True,True,,84.9,0.4946428571428571,,,,,0,
2016,CAB0012,Intra-Europe,carrier,2012,4,6,1062.0,8,None,168.0,81.3,27.3,0,25,42,0,22.2,none,0,1.0,2017.0,True,True,,86.7,0.48392857142857143,-1.7999999999999972,-16.599999999999998,1.0,1.0,1,1.0
2017,CAB0012,Intra-Europe,carrier,2012,5,6,1062.0,8,None,168.0,83.6,100.0,0,25,44,0,23.8,fishing_anchor,1,1.0,2018.0,True,True,,84.4,0.49761904761904757,2.299999999999997,72.7,2.0,0.0,1,2.0
2018,CAB0012,Intra-Europe,carrier,2012,6,6,1062.0,8,None,168.0,95.1,44.1,0,25,45,0,25.4,fishing_anchor,1,1.0,2019.0,True,True,,72.9,0.5660714285714286,11.5,-55.9,1.0,1.0,2,1.0
2019,CAB0012,Intra-Europe,carrier,2012,7,6,1062.0,8,None,168.0,110.3,86.5,0,25,47,0,27.0,natural_hazard,1,0.0,2020.0,True,True,,57.7,0.656547619047619,15.200000000000003,42.4,2.0,1.0,2,1.0
2020,CAB0012,Intra-Europe,carrier,2012,8,6,1062.0,8,None,168.0,114.5,56.7,0,25,49,0,28.6,none,0,1.0,2021.0,True,True,,53.5,0.6815476190476191,4.200000000000003,-29.799999999999997,2.0,1.0,3,1.0
2021,CAB0012,Intra-Europe,carrier,2012,9,6,1062.0,8,None,168.0,132.3,51.0,0,25,49,0,30.2,natural_hazard,1,0.0,2022.0,True,True,,35.69999999999999,0.7875000000000001,17.80000000000001,-5.700000000000003,0.0,0.0,2,2.0
2022,CAB0012,Intra-Europe,carrier,2012,10,6,1062.0,8,None,168.0,136.2,39.6,0,25,52,0,31.7,none,0,1.0,2023.0,True,True,,31.80000000000001,0.8107142857142856,3.8999999999999773,-11.399999999999999,3.0,1.0,2,1.0
2023,CAB0012,Intra-Europe,carrier,2012,11,6,1062.0,8,None,168.0,146.0,63.6,0,25,53,0,33.3,natural_hazard,1,0.0,2024.0,True,True,,22.0,0.8690476190476191,9.800000000000011,24.0,1.0,0.0,1,2.0
2024,CAB0012,Intra-Europe,carrier,2012,12,6,1062.0,8,None,168.0,168.0,83.9,0,25,53,0,34.9,none,0,0.0,2025.0,True,True,,0.0,1.0,22.0,20.300000000000004,0.0,1.0,2,1.0
2025,CAB0012,Intra-Europe,carrier,2012,13,6,1062.0,8,None,168.0,168.0,41.6,0,25,58,0,36.5,none,0,1.0,2026.0,True,True,,0.0,1.0,0.0,-42.300000000000004,5.0,0.0,1,2.0
2022,CAB0013,Trans-Pacific,consortium,2022,0,8,12780.0,4,None,338.3,80.5,17.8,0,25,45,0,15.9,none,0,1.0,2023.0,True,True,,257.8,0.23795447827372154,,,,,0,
2023,CAB0013,Trans-Pacific,consortium,2022,1,8,12780.0,4,None,338.3,114.4,21.6,0,25,47,0,17.5,equipment,1,1.0,2024.0,True,True,,223.9,0.33816139521135086,33.900000000000006,3.8000000000000007,2.0,0.0,0,
2024,CAB0013,Trans-Pacific,consortium,2022,2,8,12780.0,4,None,338.3,102.1,57.2,0,25,49,0,19.0,fishing_anchor,1,0.0,2025.0,True,True,,236.20000000000002,0.30180313331362696,-12.300000000000011,35.6,2.0,1.0,1,1.0
2025,CAB0013,Trans-Pacific,consortium,2022,3,8,12780.0,4,None,338.3,132.1,10.7,0,25,50,0,20.6,none,0,0.0,2026.0,True,True,,206.20000000000002,0.3904818208690511,30.0,-46.5,1.0,1.0,2,1.0
2015,CAB0014,Intra-Pacific-Islands,carrier,2013,2,18,3848.0,6,None,529.7,168.7,26.8,1,25,28,1,23.0,none,0,0.0,2016.0,True,True,,361.00000000000006,0.31848215971304505,,,,,0,
2016,CAB0014,Intra-Pacific-Islands,carrier,2013,3,18,3848.0,6,None,529.7,238.8,42.3,1,25,29,1,24.6,none,0,0.0,2017.0,True,True,,290.90000000000003,0.4508212195582405,70.10000000000002,15.499999999999996,1.0,0.0,0,
2017,CAB0014,Intra-Pacific-Islands,carrier,2013,4,18,3848.0,6,None,529.7,235.4,22.1,1,25,29,1,26.2,none,0,0.0,2018.0,True,True,,294.30000000000007,0.4444024919765905,-3.4000000000000057,-20.199999999999996,0.0,0.0,0,
2018,CAB0014,Intra-Pacific-Islands,carrier,2013,5,18,3848.0,6,None,529.7,329.6,18.7,1,25,30,1,27.8,none,0,0.0,2019.0,True,True,,200.10000000000002,0.6222390032093638,94.20000000000002,-3.400000000000002,1.0,0.0,0,
2019,CAB0014,Intra-Pacific-Islands,carrier,2013,6,18,3848.0,6,None,529.7,320.3,63.0,1,25,35,1,29.4,none,0,1.0,2020.0,True,True,,209.40000000000003,0.6046818954124976,-9.300000000000011,44.3,5.0,0.0,0,
2020,CAB0014,Intra-Pacific-Islands,carrier,2013,7,18,3848.0,6,None,529.7,360.5,75.5,1,25,40,0,11.1,fishing_anchor,1,0.0,2021.0,True,True,,169.20000000000005,0.6805739097602416,40.19999999999999,12.5,5.0,0.0,0,
2021,CAB0014,Intra-Pacific-Islands,carrier,2013,8,18,3848.0,6,None,529.7,387.7,63.5,1,25,41,0,12.7,none,0,0.0,2022.0,True,True,,142.00000000000006,0.7319237304134415,27.19999999999999,-12.0,1.0,1.0,1,1.0
2022,CAB0014,Intra-Pacific-Islands,carrier,2013,9,18,3848.0,6,None,529.7,424.3,39.1,1,25,43,0,14.3,none,0,0.0,2023.0,True,True,,105.40000000000003,0.8010194449688502,36.60000000000002,-24.4,2.0,0.0,1,2.0
2023,CAB0014,Intra-Pacific-Islands,carrier,2013,10,18,3848.0,6,None,529.7,447.3,57.7,1,25,45,0,15.9,none,0,0.0,2024.0,True,True,,82.40000000000003,0.844440249197659,23.0,18.6,2.0,0.0,1,3.0
2024,CAB0014,Intra-Pacific-Islands,carrier,2013,11,18,3848.0,6,None,529.7,486.7,55.0,1,25,48,0,17.5,none,0,1.0,2025.0,True,True,,43.00000000000006,0.9188219747026618,39.39999999999998,-2.700000000000003,3.0,0.0,0,4.0
2025,CAB0014,Intra-Pacific-Islands,carrier,2013,12,18,3848.0,6,None,529.7,528.3,39.7,1,25,50,0,19.0,fishing_anchor,1,0.0,2026.0,True,True,,1.400000000000091,0.9973569945252028,41.599999999999966,-15.299999999999997,2.0,0.0,0,5.0
2015,CAB0015,Americas,consortium,2014,1,7,6898.0,5,Panama,216.0,55.8,24.2,0,25,28,1,65.1,none,0,0.0,2016.0,True,True,,160.2,0.2583333333333333,,,,,0,
2016,CAB0015,Americas,consortium,2014,2,7,6898.0,5,Panama,216.0,77.6,63.8,0,25,29,1,66.7,none,0,0.0,2017.0,True,True,,138.4,0.3592592592592592,21.799999999999997,39.599999999999994,1.0,0.0,0,
2017,CAB0015,Americas,consortium,2014,3,7,6898.0,5,Panama,216.0,93.4,24.7,0,25,29,1,68.3,none,0,0.0,2018.0,True,True,,122.6,0.4324074074074074,15.800000000000011,-39.099999999999994,0.0,0.0,0,
2018,CAB0015,Americas,consortium,2014,4,7,6898.0,5,Panama,216.0,105.1,45.1,0,25,31,1,69.8,none,0,1.0,2019.0,True,True,,110.9,0.48657407407407405,11.699999999999989,20.400000000000002,2.0,0.0,0,
2019,CAB0015,Americas,consortium,2014,5,7,6898.0,5,Panama,216.0,122.7,58.6,0,25,32,1,71.4,fishing_anchor,1,0.0,2020.0,True,True,,93.3,0.5680555555555555,17.60000000000001,13.5,1.0,0.0,0,
2020,CAB0015,Americas,consortium,2014,6,7,6898.0,5,Panama,216.0,133.6,56.5,0,25,33,1,73.0,none,0,0.0,2021.0,True,True,,82.4,0.6185185185185185,10.899999999999991,-2.1000000000000014,1.0,1.0,1,1.0
2021,CAB0015,Americas,consortium,2014,7,7,6898.0,5,Panama,216.0,132.4,60.9,0,25,37,1,74.6,none,0,1.0,2022.0,True,True,,83.6,0.612962962962963,-1.1999999999999886,4.399999999999999,4.0,0.0,1,2.0
2022,CAB0015,Americas,consortium,2014,8,7,6898.0,5,Panama,216.0,161.7,39.0,0,25,37,1,76.2,fishing_anchor,1,0.0,2023.0,True,True,,54.30000000000001,0.748611111111111,29.299999999999983,-21.9,0.0,0.0,1,3.0
2023,CAB0015,Americas,consortium,2014,9,7,6898.0,5,Panama,216.0,168.9,93.8,0,25,37,1,77.8,none,0,0.0,2024.0,True,True,,47.099999999999994,0.7819444444444444,7.200000000000017,54.8,0.0,1.0,1,1.0
2024,CAB0015,Americas,consortium,2014,10,7,6898.0,5,Panama,216.0,165.5,60.6,0,25,39,1,79.4,none,0,0.0,2025.0,True,True,,50.5,0.7662037037037037,-3.4000000000000057,-33.199999999999996,2.0,0.0,1,2.0
2025,CAB0015,Americas,consortium,2014,11,7,6898.0,5,Panama,216.0,193.4,79.3,0,25,39,1,81.0,none,0,0.0,2026.0,True,True,,22.599999999999994,0.8953703703703704,27.900000000000006,18.699999999999996,0.0,0.0,1,3.0
